s_p,m_compound_6_0,mass_minus_m_d
0.05,1280.2000290793983,-595.4129709206018
0.1,1299.365194516494,-576.247805483506
0.162,1324.9332887825105,-550.6797112174895
0.3,1389.2509685933242,-486.3620314066759
0.5,1501.2527333516528,-374.3602666483473
0.7,1635.7152685081464,-239.89773149185362
0.85,1750.6882578174868,-124.92474218251323
0.9,1791.5068862975832,-84.1061137024169
0.95,1833.4814017603187,-42.13159823968135
0.97,1850.5799843991585,-25.03301560084151
0.98,1859.1931317860135,-16.419868213986547
0.99,1867.8480363203187,-7.764963679681387
0.995,1872.1909517064196,-3.422048293580474
0.998,1874.8016032830094,-0.8113967169906573
1.0,1876.5440695746856,0.9310695746855799
1.05,1920.6181431437121,45.005143143712075
1.1,1965.61770044736,90.00470044735994
1.5,2345.6527960017097,470.03979600170965
