nucleus,Z,N,A,JP,T,n_pt,n_pr,m_Ma,M_free,Delta_Ma,B_obs,residual,residual_per_A
²H,1,1,2,1+,0,6,0,1875.7116089785798,1877.837,-2.125391021420228,-2.224,-0.09860897857977236,-0.04930448928988618
³H,1,2,3,1/2+,0.5,9,-2,2814.5856950835623,2817.402,-2.81630491643773,-8.482,-5.6656950835622695,-1.8885650278540898
³He,2,1,3,1/2+,0.5,9,2,2813.291031613959,2816.1090000000004,-2.8179683860412297,-7.718,-4.90003161395877,-1.63334387131959
⁴He,2,2,4,0+,0,12,0,3751.4232179571595,3755.674,-4.250782042840456,-28.296,-24.045217957159544,-6.011304489289886
⁶Li,3,3,6,1+,0,18,0,5627.1348269357395,5633.511,-6.376173064260911,-31.994,-25.61782693573909,-4.2696378226231815
⁷Li,3,4,7,3/2-,0.5,21,-2,6565.797019896275,6573.076000000001,-7.278980103726099,-39.245,-31.9660198962739,-4.566574270896271
⁹Be,4,5,9,3/2-,0.5,27,-2,8441.47330520003,8450.913,-9.439694799970312,-58.165,-48.72530520002969,-5.413922800003299
¹⁰B,5,5,10,3+,0,30,0,9378.558044892898,9389.185000000001,-10.62695510710364,-64.751,-54.124044892896364,-5.412404489289637
¹²C,6,6,12,0+,0,36,0,11254.269653871479,11267.022,-12.752346128521822,-92.162,-79.40965387147818,-6.617471155956515
¹⁴N,7,7,14,1+,0,42,0,13129.981262850059,13144.859,-14.877737149941822,-104.659,-89.78126285005818,-6.412947346432728
¹⁶O,8,8,16,0+,0,48,0,15005.692871828638,15022.696,-17.003128171361823,-127.619,-110.61587182863818,-6.913491989289886
²⁰Ne,10,10,20,0+,0,60,0,18757.116089785795,18778.370000000003,-21.25391021420728,-160.645,-139.39108978579273,-6.969554489289637
²⁴Mg,12,12,24,0+,0,72,0,22508.539307742958,22534.044,-25.504692257043644,-198.257,-172.75230774295636,-7.198012822623181
²⁸Si,14,14,28,0+,0,84,0,26259.962525700117,26289.718,-29.755474299883645,-236.537,-206.78152570011636,-7.38505448928987
³²S,16,16,32,0+,0,96,0,30011.385743657276,30045.392,-34.006256342723646,-271.781,-237.77474365727636,-7.430460739289886
⁴⁰Ca,20,20,40,0+,0,120,0,37514.23217957159,37556.740000000005,-42.50782042841456,-342.052,-299.54417957158546,-7.488604489289637
⁵⁶Fe,26,30,56,0+,1,168,-8,52522.832681068285,52582.022,-59.18931893171248,-492.258,-433.0686810682875,-7.733369304790848
¹²⁰Sn,50,70,120,0+,5,360,-40,112559.35413560012,112683.15000000001,-123.79586439988634,-1020.55,-896.7541356001136,-7.472951130000947
