particle,tuple,observed,predicted,rel_err,abs_err_pct,note
electron,"(1, 2, 0, 0, 0, 0)",0.51099895,0.51099895,0.0,0.0,e-sheet (R64 anchor)
proton,"(0, 0, 0, 0, 3, 2)",938.27208816,938.2720881599998,-1.2116617253803402e-16,1.2116617253803403e-14,p-sheet R64 anchor (uud)
neutron,"(0, 0, 0, 0, 3, -2)",939.56542052,939.5656826071541,2.7894508295587334e-07,2.7894508295587333e-05,p-sheet R64 (udd)
Lambda,"(-3, 2, 1, -6, -3, -3)",1115.683,1264.5224118365977,0.13340654275147845,13.340654275147845,uds (R63 cross-sheet)
Sigma_+,"(2, -3, -2, -6, 3, 6)",1189.37,1241.8824467718196,0.04415148084432908,4.415148084432908,uus (R63 cross-sheet)
Sigma_-,"(4, 0, -2, -6, 3, 5)",1197.449,1289.6951043200213,0.07703551827261222,7.703551827261222,dds (R63 cross-sheet)
Xi_-,"(-2, 4, 0, -6, -3, 6)",1321.71,1308.839863338471,-0.009737489057001105,0.9737489057001105,dss (R63 cross-sheet)
phi,"(-3, -6, 1, -6, -3, 6)",1019.461,1007.3581338734989,-0.011871828472595923,1.1871828472595924,ss̄ (R63 cross-sheet)
eta_prime,"(0, -6, -1, -6, 0, -6)",957.78,733.291303391884,-0.23438440623954981,23.438440623954982,(R63 cross-sheet)
K0,"(0, -1, -1, -6, 0, -4)",497.611,275.0737576470821,-0.4472112601066252,44.72112601066252,ds̄ (R63 cross-sheet)
K_pm,"(1, 3, -2, -6, 0, -4)",493.677,274.9079380717839,-0.4431420988383419,44.31420988383419,us̄ (R63 cross-sheet)
eta,"(0, -4, -1, -6, 0, -3)",547.862,458.9605028593256,-0.16226987296194004,16.226987296194004,(R63 cross-sheet)
pi0,"(0, 0, -1, -6, 0, -1)",134.977,63.62861663487871,-0.5285966006439712,52.85966006439712,(R63 cross-sheet)
pi_pm,"(1, 2, -2, -6, 0, -1)",139.57,63.630668508159374,-0.5440949451303333,54.40949451303333,ud̄ etc (R63 cross-sheet)
