name,Z,A,B_obs,B_pred,ratio,B_per_A_obs,B_per_A_pred
1H,1,1,1.346554768133501e-05,1.1368683772161603e-13,0,1.346554768133501e-05,1.1368683772161603e-13
2H,1,2,2.224579637584384,21.691638069290775,9.750893023926618,1.112289818792192,10.845819034645388
3H,1,3,8.481813168735698,28.896244132000447,3.4068475168155268,2.8272710562452326,9.632081377333483
3He,2,3,7.718067965737646,27.925806022105917,3.618237899183483,2.5726893219125486,9.30860200736864
4He,2,4,28.2956897108038,42.48873219315601,1.501597332576525,7.07392242770095,10.622183048289003
6Li,3,6,31.99402792670844,62.730545861158134,1.9606954774453709,5.33233798778474,10.455090976859688
7Li,3,7,39.24512183834395,72.12770013108548,1.837876830353321,5.606445976906278,10.30395716158364
9Be,4,9,58.164076063099856,92.29647233792639,1.5868295103286378,6.462675118122206,10.255163593102932
10B,5,10,64.75082039020344,101.86713420272281,1.573217661009511,6.475082039020345,10.18671342027228
11B,5,11,76.20513038792524,111.91947375333439,1.4686606162026608,6.927739126175021,10.17449761393949
12C,6,12,92.16181673999927,120.84619646630381,1.311239304312186,7.680151394999939,10.070516372191983
13C,6,13,97.10811716001263,131.0899202744822,1.3499378229986183,7.469855166154817,10.083840021114016
14N,7,14,104.65870253264256,139.46875287254625,1.332605406884789,7.4756216094744685,9.962053776610446
16O,8,16,127.6194241991052,157.75433809776223,1.2361310912329624,7.976214012444075,9.85964613111014
19F,9,19,147.8014877095302,186.3309489083149,1.2606838523473152,7.779025668922642,9.806892047806047
20Ne,10,20,160.6449599302323,193.37541941659583,1.2037440794941734,8.032247996511614,9.668770970829792
23Na,11,23,186.5645022705212,221.50900198209274,1.1873051908926464,8.111500098718313,9.630826173134468
24Mg,12,24,198.2572017122293,227.8087475154207,1.149056607013376,8.260716738009554,9.492031146475862
27Al,13,27,224.9520047970036,255.50514954788014,1.13582072664099,8.331555733222356,9.463153686958524
28Si,14,28,236.53703730658526,261.1286059943741,1.103964981416059,8.447751332378045,9.326021642656217
31P,15,31,262.916403681058,288.3973515330399,1.0969165388512336,8.481174312292193,9.303140372033546
32S,16,32,271.78038507248857,293.39357238313096,1.0795244561334982,8.493137033515268,9.168549136972842
35Cl,17,35,298.2100104161909,320.2451997084354,1.073891514444775,8.52028601189117,9.14986284881244
40Ar,18,40,343.8106210449114,365.91061268710473,1.0642795489418766,8.595265526122784,9.147765317177619
39K,19,39,333.7242644256039,351.0965648733545,1.0520558505916593,8.55703242116933,9.002476022393706
40Ca,20,40,342.052449086601,354.9427628088306,1.0376851963979536,8.551311227165025,8.873569070220764
45Sc,21,45,387.85149003555125,402.0191367163061,1.0365285348767288,8.618922000790027,8.933758593695691
48Ti,22,48,418.7036723936617,426.67329436579166,1.0190340388623031,8.722993174867952,8.889026965953994
51V,23,51,445.8472413921627,450.8734377534565,1.0112733597848436,8.742102772395347,8.840655642224638
52Cr,24,52,456.3506352457407,455.59272512955795,0.9983391934673771,8.775973754725783,8.761398560183807
55Mn,25,55,482.07533379753295,479.503885892831,0.9946658795328824,8.765006069046054,8.718252470778745
56Fe,26,56,492.2595698268051,483.5910198496058,0.9823902865306423,8.790349461192948,8.635553925885818
59Co,27,59,517.3138907029715,507.2115845351873,0.9804716124014061,8.768032045813078,8.596806517545547
60Ni,28,60,526.8462951041874,510.70037455253623,0.969353641276991,8.780771585069791,8.511672909208936
63Cu,29,63,551.3846800269166,534.0296180857622,0.9685245844329458,8.752137778205025,8.476660604535908
64Zn,30,64,559.0981558943386,536.9485302517423,0.9603832969057723,8.73590868584904,8.389820785183474
70Ge,32,70,610.5194405059374,582.6516210719346,0.9543539196542068,8.721706292941963,8.323594586741924
75As,33,75,652.5660506127024,623.7970645400055,0.9559140625754508,8.700880674836032,8.31729419386674
80Se,34,80,696.8655630406429,663.0588294816407,0.9514874383927184,8.710819538008035,8.288235368520509
84Kr,36,84,732.2660601957905,687.9867873161129,0.9395311686740768,8.717453097568935,8.190318896620392
88Sr,38,88,768.4689463707618,712.0577341205062,0.9265927237311695,8.732601663304111,8.091565160460299
89Y,39,89,775.5455131456401,714.6882743921451,0.9215297648919972,8.713994529726294,8.03020533024882
90Zr,40,90,783.893206087625,716.7699660056533,0.914371958373028,8.709924512084722,7.964110733396147
93Nb,41,93,805.7650680479273,737.3774576247379,0.9151271094577635,8.66414051664438,7.928789866932665
98Mo,42,98,846.246022867359,775.7797715706838,0.9167307740390762,8.63516349864652,7.916120118068202
103Rh,45,103,884.1688165169035,799.2186023494432,0.9039208207974205,8.584163267154402,7.759403906305274
108Pd,46,108,925.2388668365602,836.750421400051,0.9043615128933614,8.567026544782964,7.747689087037509
107Ag,47,107,915.2666772083612,819.8366189090011,0.8957352423334917,8.553894179517394,7.662024475785057
114Cd,48,114,972.5931084728945,874.9416856503085,0.8995968386246205,8.531518495376268,7.674927067107969
115In,49,115,979.4043205228081,876.3278247677954,0.8947559311357843,8.516559308893983,7.620241954502569
120Sn,50,120,1020.5401063812897,912.3185601364094,0.8939565965431573,8.504500886510748,7.602654667803411
130Te,52,130,1095.942970996155,981.3494501914975,0.8954384271468997,8.430330546124269,7.54884192454998
127I,53,127,1072.5775897353597,950.0936312462582,0.8858041043731649,8.445492832561888,7.481052214537466
132Xe,54,132,1112.4469534719829,984.7788229622092,0.8852366577019091,8.42762843539381,7.460445628501585
133Cs,55,133,1118.5279114053556,985.8239289365738,0.8813583629736623,8.409984296280868,7.412209992004314
138Ba,56,138,1158.2930875265884,1019.9232031635329,0.8805398341290893,8.393428170482524,7.390747849011108
139La,57,139,1164.5420590512513,1020.8276873215655,0.8765915145677353,8.378000424829146,7.344084081450111
140Ce,58,140,1172.6883909130847,1021.3040700809215,0.8709083145998473,8.376345649379177,7.2950290720065825
141Pr,59,141,1177.9145819132973,1021.3580311419792,0.8670900647846451,8.354004127044663,7.243673979730349
142Nd,60,142,1185.1370579244103,1020.9951044108893,0.8614996025852141,8.346035619185988,7.19010636909077
152Sm,62,152,1253.0976758884499,1088.939528964489,0.8689981235440627,8.244063657160854,7.164075848450586
153Eu,63,153,1258.9910029647872,1088.7180748177925,0.8647544519809749,8.228699365782923,7.115804410573808
158Gd,64,158,1295.8878665562079,1121.747071286518,0.8656204755335312,8.201821940229165,7.0996650081425186
159Tb,65,159,1302.0195629733498,1121.3742709383077,0.8612576207207575,8.188802282851256,7.052668370681181
164Dy,66,164,1338.0288058345614,1153.906766113796,0.8623930673854784,8.158712230698544,7.036016866547537
165Ho,67,165,1344.2494599385245,1153.3750346271554,0.858006693697985,8.146966423869845,6.990151725013063
166Er,68,166,1351.5657374057337,1152.4583281907544,0.8526838882456753,8.141962273528517,6.942520049341894
169Tm,69,169,1371.3473918048257,1168.1400138573954,0.8518191822423713,8.114481608312579,6.912071087913582
174Yb,70,174,1406.591598559724,1200.1849558675895,0.85325758883852,8.083859761837493,6.897614688894192
175Lu,71,175,1412.1006843187497,1199.0280919589277,0.8491094900484265,8.069146767535713,6.8515890969081585
180Hf,72,180,1446.2888562097796,1230.6196179237159,0.8508809375388138,8.03493809005433,6.8367756551317544
181Ta,73,181,1452.2331360135286,1229.295249750896,0.8464861593265863,8.023387491787451,6.791686462712132
184W,74,184,1472.9374353210442,1244.20042315693,0.844706905616627,8.005094757179588,6.761958821505054
187Re,75,187,1491.8799998326576,1258.9555211860861,0.8438718404478253,7.9779679135436234,6.732382466235754
192Os,76,192,1526.1162368193618,1289.6957552299136,0.8450835684166619,7.948522066767509,6.7171653918224665
193Ir,77,193,1532.0630316571915,1288.021617076738,0.8407105911846979,7.938150423094256,6.673687135112632
195Pt,78,195,1545.68134732623,1294.2053189138533,0.8373040932095168,7.926571011929385,6.636950353404376
197Au,79,197,1559.386385096208,1300.221655797388,0.8338033910159921,7.915666929422375,6.600109927905523
202Hg,80,202,1595.165083167085,1330.5317222537124,0.8341028375646474,7.896856847361807,6.586790704226299
205Tl,81,205,1615.0723029711808,1344.4165842247603,0.8324188222109273,7.878401477908199,6.558129679145172
208Pb,82,208,1636.4308837362332,1358.1608854480146,0.82995310033939,7.867456171808813,6.529619641576994
209Bi,83,209,1640.229932622111,1355.6884236769984,0.8265234018195012,7.847990108239765,6.486547481708126
232Th,90,232,1766.6870390371187,1463.1837279749452,0.8282076540123433,7.615030340677236,6.306826413685108
235U,92,235,1783.8646370101196,1464.4339653499774,0.8209333460438287,7.590913348979233,6.231633895106286
238U,92,238,1801.6900694178476,1488.1048196415359,0.8259493932396288,7.570126342091797,6.25254125899805
