locus_sigma_aS,locus_sigma_at,alpha_effective
-0.31000000000000005,0.04144737493593403,0.0072973525205055605
-0.30000000000000004,0.0445848647758014,0.0072973525205055605
-0.29000000000000004,0.04762815025180638,0.0072973525205055605
-0.28,0.050570522190011666,0.0072973525205055605
-0.27,0.05341704627709228,0.0072973525205055605
-0.26,0.05616943419684809,0.0072973525205055605
-0.25,0.05881428307161644,0.0072973525205055605
-0.24000000000000002,0.06136544453113192,0.0072973525205055605
-0.23,0.06381959863627115,0.0072973525205055605
-0.22000000000000003,0.06616993174493291,0.0072973525205055605
-0.21000000000000002,0.06841726769505106,0.0072973525205055605
-0.2,0.070564618132653,0.0072973525205055605
-0.19000000000000003,0.07261090062715085,0.0072973525205055605
-0.18000000000000002,0.07455545760947271,0.0072973525205055605
-0.17,0.07639799751770229,0.0072973525205055605
-0.16000000000000003,0.07813854431977786,0.0072973525205055605
-0.15000000000000002,0.07977301731142021,0.0072973525205055605
-0.14,0.08130206101802513,0.0072973525205055605
-0.13,0.08272940451126286,0.0072973525205055605
-0.12,0.08405612037393148,0.0072973525205055605
-0.11000000000000004,0.08527063642080983,0.0072973525205055605
-0.10000000000000003,0.08638525795635643,0.0072973525205055605
-0.09000000000000002,0.0873922515355899,0.0072973525205055605
-0.08000000000000002,0.08829625133994247,0.0072973525205055605
-0.07,0.0890909920983417,0.0072973525205055605
-0.06,0.08978449064426036,0.0072973525205055605
-0.04999999999999999,0.09036852158441037,0.0072973525205055605
-0.040000000000000036,0.0908457248895159,0.0072973525205055605
-0.030000000000000027,0.09121830025093759,0.0072973525205055605
-0.020000000000000018,0.09148518552560277,0.0072973525205055605
-0.010000000000000009,0.09164562091765076,0.0072973525205055605
0.0,0.09169915010806474,0.0072973525205055605
0.010000000000000009,0.09164562091765076,0.0072973525205055605
0.019999999999999962,0.09148518552560277,0.0072973525205055605
0.02999999999999997,0.09121830025093759,0.0072973525205055605
0.03999999999999998,0.0908457248895159,0.0072973525205055605
0.04999999999999999,0.09036852158441037,0.0072973525205055605
0.06,0.08978449064426036,0.0072973525205055605
0.07,0.0890909920983417,0.0072973525205055605
0.07999999999999996,0.08829625133994247,0.0072973525205055605
0.08999999999999997,0.0873922515355899,0.0072973525205055605
0.09999999999999998,0.08638525795635643,0.0072973525205055605
0.10999999999999999,0.08527063642080983,0.0072973525205055605
0.12,0.08405612037393148,0.0072973525205055605
0.13,0.08272940451126286,0.0072973525205055605
0.14,0.08130206101802513,0.0072973525205055605
0.15000000000000002,0.07977301731142021,0.0072973525205055605
0.16000000000000003,0.07813854431977786,0.0072973525205055605
0.17000000000000004,0.07639799751770228,0.0072973525205055605
0.17999999999999994,0.07455545760947273,0.0072973525205055605
0.18999999999999995,0.07261090062715087,0.0072973525205055605
0.19999999999999996,0.07056461813265301,0.0072973525205055605
0.20999999999999996,0.06841726769505108,0.0072973525205055605
0.21999999999999997,0.06616993174493292,0.0072973525205055605
0.22999999999999998,0.06381959863627115,0.0072973525205055605
0.24,0.06136544453113192,0.0072973525205055605
0.25,0.05881428307161644,0.0072973525205055605
0.26,0.05616943419684809,0.0072973525205055605
0.27,0.05341704627709228,0.0072973525205055605
0.28,0.050570522190011666,0.0072973525205055605
0.29000000000000004,0.04762815025180638,0.0072973525205055605
0.30000000000000004,0.0445848647758014,0.0072973525205055605
0.30999999999999994,0.041447374935934034,0.0072973525205055605
