alpha_spread,hypothesis,param_a,param_b,param_c,param_d,sigma_pS_tube,verdict
0.0003460260113864466,H1: σ_pS_ring = a·σ,0.9916666666865358,,,,0.001,good (≤1e-3)
0.008662310127892314,H1: σ_pS_ring = a·σ,0.9916666666865358,,,,0.005,no help
0.03479558725890186,H1: σ_pS_ring = a·σ,0.9916666666865358,,,,0.01,no help
0.22403288588610848,H1: σ_pS_ring = a·σ,0.9916666666716347,,,,0.025,no help
0.9978786240162896,H1: σ_pS_ring = a·σ,0.991666666666978,,,,0.05,no help
1.7985612998927536e-14,H2: σ_aS = b·σ,,-1.818920426249506,,,0.001,exact (≤1e-6)
4.807265696626928e-13,H2: σ_aS = b·σ,,-1.818920426249506,,,0.005,exact (≤1e-6)
2.0085044738493707e-12,H2: σ_aS = b·σ,,-1.818920426249506,,,0.01,exact (≤1e-6)
1.3740120152760937e-11,H2: σ_aS = b·σ,,-1.818920426249506,,,0.025,exact (≤1e-6)
1.1654011089490268e-12,H2: σ_aS = b·σ,,-1.818920426278377,,,0.05,exact (≤1e-6)
5.440092820663267e-15,"H3: σ_pS_ring=a·σ, σ_aS=b·σ",1.535344592206565,-1.818920426270151,,,0.001,exact (≤1e-6)
5.440092820663267e-15,"H3: σ_pS_ring=a·σ, σ_aS=b·σ",1.5353423196194442,-1.8189204262781975,,,0.005,exact (≤1e-6)
5.440092820663267e-15,"H3: σ_pS_ring=a·σ, σ_aS=b·σ",1.535341801014706,-1.818920426278999,,,0.01,exact (≤1e-6)
5.440092820663267e-15,"H3: σ_pS_ring=a·σ, σ_aS=b·σ",1.5353415695706936,-1.8189204262787884,,,0.025,exact (≤1e-6)
5.440092820663267e-15,"H3: σ_pS_ring=a·σ, σ_aS=b·σ",1.5352271802330832,-1.818920426278797,,,0.05,exact (≤1e-6)
1.0,"H4: σ_eS_tube=c·σ, σ_νS_tube=d·σ",,,1.0,1.0,0.001,no help
1.0,"H4: σ_eS_tube=c·σ, σ_νS_tube=d·σ",,,1.0,1.0,0.005,no help
1.0,"H4: σ_eS_tube=c·σ, σ_νS_tube=d·σ",,,1.0,1.0,0.01,no help
1.0,"H4: σ_eS_tube=c·σ, σ_νS_tube=d·σ",,,1.0,1.0,0.025,no help
1.0,"H4: σ_eS_tube=c·σ, σ_νS_tube=d·σ",,,1.0,1.0,0.05,no help
1.4432899320127035e-15,H5: 3-sheet w/ R60-T7 ring companions,,,1.2072882609014344,-0.20728826089737853,0.001,exact (≤1e-6)
4.440892098500626e-15,H5: 3-sheet w/ R60-T7 ring companions,,,1.2073128016961512,-0.20731280169575939,0.005,exact (≤1e-6)
5.440092820663267e-15,H5: 3-sheet w/ R60-T7 ring companions,,,1.2072504064463587,-0.20725040644641063,0.01,exact (≤1e-6)
1.4432899320127035e-15,H5: 3-sheet w/ R60-T7 ring companions,,,1.2072878819865294,-0.20728788198652387,0.025,exact (≤1e-6)
4.619860050070201e-12,H5: 3-sheet w/ R60-T7 ring companions,,,1.2072849406213941,-0.20728494062666483,0.05,exact (≤1e-6)
